Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Medical,tung bo zai,,通波仔,,Literally to make something smooth by a small ball; Angioplasty,wikipedia:Hong_Kong_slanguage
phrase,Medical,wong luk ji saang,,黃綠醫生 / 黃六醫生,,Literally means Yellow green doctor / Yellow six doctor; Quackery,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,bo soeng,,波箱,,Literally means Wave-Box; Gear Box,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,ce paai,,車牌,,Literally means Vehicle License; 1.) - Vehicle registration plate. 2.) - Driver's license,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,din daan ce,,電單車,,Literally means Electric bike - Motorcycle,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,gik lik zi,,極力子,,Sound like the English word Clutch; Clutch,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,gwan bo,,棍波,,Literally means Stick-Gear Box; Manual transmission,wikipedia:Hong_Kong_slanguage
phrase,Vehicle,zi dung bo,,自動波,,Literally means Automation-Gear Box; Automatic Transmission,wikipedia:Hong_Kong_slanguage
phrase,Other,be ling,,啤令,,"Sound like the English words ""Bearing""; Bearing",wikipedia:Hong_Kong_slanguage
phrase,Other,jin so,,燕梳,,"Literally means Swallow-Comb, sound like the English word ""Insure""; Insurance",wikipedia:Hong_Kong_slanguage
phrase,Other,si baa naa,,士巴拿,,"Sounds like the English words ""Spanner""; Wrench or Shifter",wikipedia:Hong_Kong_slanguage
token,Football,bo,,波,,"Literally means wave, but sounds like the English word ""ball""; Ball or Football",wikipedia:Hong_Kong_slanguage
phrase,Football,caap faa,,插花,,Literally means flower bouquet; Step over,wikipedia:Hong_Kong_slanguage
phrase,Football,caau gaai laan,,炒芥蘭,,Literally to stir-fry Chinese broccoli; A football player get injured thigh tendons or muscles by crashing someone's kneel leg or hard body,wikipedia:Hong_Kong_slanguage
phrase,Football,dei biu zin,,地標戰,,"Literally to landmark-battle, but 地標 sounds like the English/French word ""debut""; Debut",wikipedia:Hong_Kong_slanguage
phrase,Football,fu tim,,夫添,,"Sound like English word, ""full team""; Football squad without any injury, sickness or suspension",wikipedia:Hong_Kong_slanguage
phrase,Football,jin haak,,宴客,,Literally to hold a banquet; To miss a penalty,wikipedia:Hong_Kong_slanguage
phrase,Football,lai hang gung si,,例行公事,,Literally means routine job; Dead rubber,wikipedia:Hong_Kong_slanguage
phrase,Football,ngau baa bui,,歐霸盃,,UEFA Europa League,wikipedia:Hong_Kong_slanguage
phrase,Football,ngau lyun,,歐聯,,UEFA Champions League,wikipedia:Hong_Kong_slanguage
phrase,Football,sik bo beng,,食波餅,,Literally to eat ball biscuit; Someone's head or face gets hit by a football,wikipedia:Hong_Kong_slanguage
phrase,Football,tung haang keoi,,通坑渠,,Literally to unblock sewer pipes or clogged wastewater drain; Nutmeg,wikipedia:Hong_Kong_slanguage
phrase,Football,wo lei,,窩利,,"Sounds like the English word ""volley""; Volley",wikipedia:Hong_Kong_slanguage
phrase,Non-football,caai roller,,踩roller,,踩 means step on; Playing roller skating,wikipedia:Hong_Kong_slanguage
phrase,Non-football,daat q,,撻Q,,Q sound like cue; To miss one's (snooker) cue,wikipedia:Hong_Kong_slanguage
phrase,Non-football,duk bo,,篤波,,Playing snooker,wikipedia:Hong_Kong_slanguage
phrase,Non-football,jap zeon,,入樽,,Literally to put something into bottle; Slam dunk of basketball,wikipedia:Hong_Kong_slanguage
phrase,Non-football,luk ling,,轆齡,,"轆 / 碌 means wheel (as noun) or roll (as verb), 拎 / 齡 sounds like English word lane; Playing bowling (in Chinese, 保""齡""球)",wikipedia:Hong_Kong_slanguage
phrase,Non-football,wong cou fe laam pink,,黃-草-啡-藍-Pink,,Literally means Yellow - Grass - Coffee / Brown - Blue - Pink; Slang of snooker colour ball except Black,wikipedia:Hong_Kong_slanguage
phrase,English Idioms,coeng geng,,搶鏡,,Literally to rob of Mirror; Steal the show,wikipedia:Hong_Kong_slanguage
phrase,English Idioms,ding nei m seon,,頂你唔順,,You make me sick!,wikipedia:Hong_Kong_slanguage
phrase,English Idioms,sai sap zo go tau,,洗濕左個頭,,"Literally means that hair is already wet, might as well wash it; What is done cannot be undone. (already committed; already involved; too late to back out; have to see it through)",wikipedia:Hong_Kong_slanguage
phrase,Others,fong fei gei,,放飛機,,Literally to fly an aeroplane; To fail to turn up on a date / To stand somebody up,wikipedia:Hong_Kong_slanguage
phrase,Others,sap buk,,十卜,,"Sounds like the English word ""Support""; To cheer someone up",wikipedia:Hong_Kong_slanguage
phrase,Others,fu luk,,負碌,,"Sounds like the English word ""Fluke""; meaning something that is unlikely or surprising and only happens because of luck",wikipedia:Hong_Kong_slanguage
phrase,Others,o zeoi,,O嘴,,"Literally to have an O-shaped mouth (to drop glasses); To feel astonished and stunned, meaning 'oh my gosh'. The jaw drops and the shape of the mouth resembles the English letter, O",wikipedia:Hong_Kong_slanguage
